"Timestamp","Team Number","Match Type","Match Number","Starting Position","Which side of the field was their SWITCH plate on?","Which side of the field was their SCALE plate on?","Did the robot cross the baseline?","How many cubes did the robot put in the SWITCH","How many cubes did the robot put in the SCALE","Comments","Cubes placed in Exchange Zone (EZ)","Cubes placed in Switch","Cubes placed in Scale","Failed Cube Attempts (in EZ, Switch, or Scale)","Where does the robot get cubes from?","What did the robot do in endgame?","How many OTHER robots did it lift?","Which part of the bar did the robot climb / attempt to climb on?","General Comments","What was the team's result?","Would this robot be a good alliance partner?"
"2018/04/26 8:39:08 AM AST","125","Qualification","1","Middle","Right","Left","Yes","2","0","","0","0","1","0","Both","Neither","0","Robot did NOT attempt to climb","Just moving around","Win","1"
"2018/04/26 8:39:27 AM AST","3535","Qualification","1","Left","Right","Left","Yes","0","0","","3","4","0","0","Floor","Neither","0","Robot did NOT attempt to climb","Struggled to pick up cubes...turned off momentarily ","Loss","1"
"2018/04/26 8:39:32 AM AST","2337","Qualification","1","Left","Right","Left","Yes","0","3","","0","3","2","0","Floor","Climb","0","The middle portion of the bar","Very zooms and solid on the scale if they tried ","Win","5"
"2018/04/26 8:39:38 AM AST","176","Qualification","1","Middle","Right","Left","No","2","0","","0","0","6","0","Floor","Climb","0","The middle portion of the bar","Fast drive; not good at defense(pushed around by other bots)","Loss","3"
"2018/04/26 8:39:48 AM AST","3274","Qualification","1","Right","Left","Right","Yes","1","0","","5","3","2","0","Floor","Neither","0","Robot did NOT attempt to climb","IT WAS quick for placing in all ez scale and switch rlly stable","Win","4"
"2018/04/26 8:40:06 AM AST","5740","Qualification","1","Right","Right","Left","Yes","0","0","Had a cube in robot","0","0","0","0","Neither","Neither","0","Other (specify in comments)","Their robot stopped working right after autonomous so it didn’t move the entire time during teleop ","Loss","3"
"2018/04/26 8:46:00 AM AST","365","Qualification","2","Middle","Left","Left","Yes","1","0","","0","0","5","0","Floor","Climb","0","The middle portion of the bar","Fast and good accuracy ","Win","4"
"2018/04/26 8:46:13 AM AST","51","Qualification","2","Right","Left","Left","Yes","0","0","Crashed into other bot ","0","0","5","0","Floor","Platform/Was Lifted","0","Other (specify in comments)","Lifted by another bot; pretty slow and tippy","Loss","2"
"2018/04/26 8:46:23 AM AST","1625","Qualification","2","Middle","Left","Left","Yes","2","0","","0","2","2","1","Floor","Climb","2","The middle portion of the bar","Strugggled to pick up cubes...very fast climb and other partners can easily drive onto platform","Loss","2"
"2018/04/26 8:46:32 AM AST","5339","Qualification","2","Right","Left","Left","Yes","0","0","","5","0","0","1","Floor","Neither","0","Robot did NOT attempt to climb","They were not very good. ","Win","2"
"2018/04/26 8:46:55 AM AST","4028","Qualification","2","Left","Left","Left","Yes","0","3","","0","0","3","2","Floor","Climb","0","Right side of the bar","Fast stable and good automous period","Win","5"
"2018/04/26 8:48:04 AM AST","3572","Qualification","2","Left","Left","Left","Yes","0","0","Attempted to put cube in scale but overshot","3","0","0","0","Floor","Platform/Was Lifted","0","Other (specify in comments)","Was carried on right side by a platform bot; also has a hard time putting cubes in EZ","Loss","3"
"2018/04/26 8:53:43 AM AST","5492","Qualification","3","Left","Left","Left","Yes","0","0","Tried switch but dropped","0","2","3","0","Both","Neither","0","Robot did NOT attempt to climb","Attempted platform but no space","Win","3"
"2018/04/26 8:53:50 AM AST","250","Qualification","3","Right","Left","Left","Yes","0","0","","6","0","0","0","Floor","Platform/Was Lifted","0","Robot did NOT attempt to climb","Not really useful focused on ez but was defensive ","Win","1"
"2018/04/26 8:54:10 AM AST","2501","Qualification","3","Middle","Left","Left","Yes","0","0","Crashed into switch","0","1","4","1","Floor","Climb","0","Left side of the bar","Fast drive but weak claw ","Loss","3"
"2018/04/26 8:54:21 AM AST","4458","Qualification","3","Left","Left","Left","Yes","1","0","","7","0","0","0","Floor","Neither","0","Robot did NOT attempt to climb","Had a lift but did not use ","Loss","1"
"2018/04/26 8:54:29 AM AST","3461","Qualification","3","Right","Left","Left","Yes","0","0","Attempted a far side scale auto but overshot","0","3","3","0","Both","Attempted Climb","0","Right side of the bar","","Loss","4"
