Team Ranking,Team Number,Robot Score,Climbing Ability,Climb/Lift Percentage,Max Cubes in Game,Max Scale - Teleop,Max Switch - Teleop,Max EZ - Teleop,Autonomous Functions,Multiple Cube Auto?,
1,4028,12.820000000000002,Climb,80.0,9.0,8.0,3.0,0.0,Baseline; Switch; Scale,Yes,
2,291,12.56,None,0.0,10.0,6.0,4.0,1.0,Baseline; Scale,Yes,
3,379,10.275,Climb + Lift,50.0,8.0,5.0,4.0,0.0,Baseline; Switch; Scale,Yes,
4,2252,9.825,Climb + Lift,100.0,10.0,9.0,3.0,0.0,Baseline; Scale,No,
5,4145,9.233333333333333,Climb,66.66666666666667,11.0,6.0,0.0,9.0,Baseline; Switch,Yes,
6,3504,8.3,Climb,20.0,7.0,5.0,4.0,0.0,Baseline; Switch; Scale,No,
7,5811,8.253333333333332,None,0.0,11.0,0.0,7.0,5.0,Baseline; Switch,No,
8,120,7.65,Climb,50.0,12.0,0.0,4.0,9.0,Baseline; Switch,No,
9,4521,7.544,Climb + Lift,80.0,7.0,4.0,7.0,3.0,Baseline; Switch,No,
10,1014,7.48,None,0.0,10.0,5.0,5.0,8.0,Baseline; Switch,No,
11,48,7.375,None,0.0,9.0,3.0,3.0,7.0,Baseline; Switch,Yes,
12,1317,6.651999999999999,Climb,60.0,8.0,2.0,4.0,8.0,Baseline; Switch,No,
13,677,6.533333333333334,None,0.0,8.0,0.0,1.0,7.0,Baseline; Switch,Yes,
14,4085,6.5120000000000005,None,0.0,9.0,3.0,4.0,6.0,Baseline; Switch,No,
15,4611,6.3,Climb,20.0,6.0,5.0,6.0,0.0,Baseline; Switch,No,
16,5740,6.2,None,0.0,7.0,0.0,7.0,0.0,Baseline; Switch,No,
17,6027,6.128,None,0.0,10.0,4.0,6.0,1.0,Baseline; Switch,No,
18,3492,6.110000000000001,Climb,25.0,10.0,3.0,4.0,6.0,Baseline; Switch,No,
19,7165,6.0760000000000005,Climb,40.0,8.0,5.0,2.0,7.0,Baseline,No,
20,3777,5.0,Climb,40.0,6.0,0.0,6.0,0.0,Baseline; Switch,No,
21,3324,4.976000000000001,None,0.0,12.0,0.0,5.0,9.0,Baseline; Switch,No,
22,279,4.665000000000001,None,0.0,6.0,5.0,1.0,4.0,Baseline; Switch,No,
23,3260,4.575,Climb,25.0,7.0,4.0,3.0,0.0,Baseline; Switch,No,
24,3010,4.416,None,0.0,10.0,0.0,3.0,6.0,Baseline; Switch,No,
25,2656,4.4,None,0.0,11.0,0.0,5.0,9.0,Baseline,No,
26,4150,4.188000000000001,None,0.0,5.0,3.0,2.0,1.0,Baseline; Switch,No,
27,7274,4.066666666666666,None,0.0,9.0,0.0,4.0,5.0,Baseline,No,
28,6936,4.048,None,0.0,6.0,0.0,3.0,5.0,Baseline; Switch,No,
29,4467,4.008,Lift Others,20.0,6.0,0.0,4.0,6.0,Baseline; Switch,No,
30,6916,3.0,None,0.0,6.0,0.0,6.0,0.0,Baseline,No,
31,6834,1.28,None,0.0,3.0,0.0,0.0,3.0,Baseline,No,
32,6964,1.1400000000000001,None,0.0,2.0,0.0,2.0,2.0,Baseline,No,
