1. Team 217: Max Cubes Placed = 9.0, Climbing Ability: Climb
2. Team 4027: Max Cubes Placed = 9.0, Climbing Ability: None
3. Team 4521: Max Cubes Placed = 9.0, Climbing Ability: Climb + Lift
4. Team 3504: Max Cubes Placed = 8.0, Climbing Ability: None
5. Team 303: Max Cubes Placed = 8.0, Climbing Ability: Climb
6. Team 5740: Max Cubes Placed = 8.0, Climbing Ability: None
7. Team 3260: Max Cubes Placed = 7.0, Climbing Ability: Climb
8. Team 5472: Max Cubes Placed = 7.0, Climbing Ability: None
9. Team 870: Max Cubes Placed = 7.0, Climbing Ability: Climb
10. Team 48: Max Cubes Placed = 7.0, Climbing Ability: None
11. Team 4522: Max Cubes Placed = 7.0, Climbing Ability: Climb
12. Team 4028: Max Cubes Placed = 7.0, Climbing Ability: Climb
13. Team 4930: Max Cubes Placed = 7.0, Climbing Ability: Climb
14. Team 5842: Max Cubes Placed = 7.0, Climbing Ability: Climb
15. Team 3171: Max Cubes Placed = 7.0, Climbing Ability: Climb
16. Team 156: Max Cubes Placed = 7.0, Climbing Ability: Climb
17. Team 2656: Max Cubes Placed = 7.0, Climbing Ability: None
18. Team 4145: Max Cubes Placed = 6.0, Climbing Ability: Climb
19. Team 2252: Max Cubes Placed = 6.0, Climbing Ability: Climb + Lift
20. Team 4991: Max Cubes Placed = 6.0, Climbing Ability: Climb
21. Team 1787: Max Cubes Placed = 6.0, Climbing Ability: Climb
22. Team 337: Max Cubes Placed = 6.0, Climbing Ability: Climb
23. Team 3954: Max Cubes Placed = 6.0, Climbing Ability: None
24. Team 5811: Max Cubes Placed = 6.0, Climbing Ability: None
25. Team 5077: Max Cubes Placed = 6.0, Climbing Ability: None
26. Team 1708: Max Cubes Placed = 5.0, Climbing Ability: None
27. Team 2053: Max Cubes Placed = 5.0, Climbing Ability: Climb
28. Team 6414: Max Cubes Placed = 5.0, Climbing Ability: None
29. Team 117: Max Cubes Placed = 5.0, Climbing Ability: None
30. Team 3061: Max Cubes Placed = 4.0, Climbing Ability: None
31. Team 945: Max Cubes Placed = 4.0, Climbing Ability: Climb
32. Team 3492: Max Cubes Placed = 4.0, Climbing Ability: None
33. Team 3511: Max Cubes Placed = 4.0, Climbing Ability: Climb
34. Team 4269: Max Cubes Placed = 4.0, Climbing Ability: None
35. Team 7165: Max Cubes Placed = 4.0, Climbing Ability: None
36. Team 6032: Max Cubes Placed = 4.0, Climbing Ability: None
37. Team 7274: Max Cubes Placed = 4.0, Climbing Ability: None
38. Team 2641: Max Cubes Placed = 4.0, Climbing Ability: Climb
39. Team 6054: Max Cubes Placed = 3.0, Climbing Ability: None
40. Team 4150: Max Cubes Placed = 3.0, Climbing Ability: None
41. Team 2603: Max Cubes Placed = 3.0, Climbing Ability: None
42. Team 4467: Max Cubes Placed = 3.0, Climbing Ability: Lift Others
43. Team 2051: Max Cubes Placed = 3.0, Climbing Ability: None
44. Team 3062: Max Cubes Placed = 3.0, Climbing Ability: None
45. Team 6947: Max Cubes Placed = 2.0, Climbing Ability: None
46. Team 4050: Max Cubes Placed = 2.0, Climbing Ability: Climb
47. Team 1308: Max Cubes Placed = 2.0, Climbing Ability: None
48. Team 4049: Max Cubes Placed = 1.0, Climbing Ability: None
49. Team 3955: Max Cubes Placed = 1.0, Climbing Ability: Climb
50. Team 4547: Max Cubes Placed = 1.0, Climbing Ability: None
51. Team 3957: Max Cubes Placed = 1.0, Climbing Ability: None
52. Team 1743: Max Cubes Placed = 0.0, Climbing Ability: None
