1. Team 2481: Avg robot score* = 11.66, Max Switch Score = 5.0, Climbing Ability: None
2. Team 1519: Avg robot score* = 11.49, Max Switch Score = 5.0, Climbing Ability: Climb
3. Team 234: Avg robot score* = 11.88, Max Switch Score = 7.0, Climbing Ability: Climb
4. Team 5406: Avg robot score* = 11.56, Max Switch Score = 5.0, Climbing Ability: Climb + Lift
5. Team 3274: Avg robot score* = 9.18, Max Switch Score = 6.0, Climbing Ability: None
6. Team 176: Avg robot score* = 10.38, Max Switch Score = 5.0, Climbing Ability: Climb
7. Team 865: Avg robot score* = 10.69, Max Switch Score = 7.0, Climbing Ability: Climb
8. Team 365: Avg robot score* = 10.25, Max Switch Score = 5.0, Climbing Ability: Climb
9. Team 1018: Avg robot score* = 8.67, Max Switch Score = 5.0, Climbing Ability: None
10. Team 3130: Avg robot score* = 10.15, Max Switch Score = 7.0, Climbing Ability: Climb
11. Team 2337: Avg robot score* = 10.06, Max Switch Score = 5.0, Climbing Ability: Climb
12. Team 1391: Avg robot score* = 10.06, Max Switch Score = 5.0, Climbing Ability: Climb
13. Team 3461: Avg robot score* = 8.79, Max Switch Score = 5.0, Climbing Ability: Climb
14. Team 177: Avg robot score* = 9.15, Max Switch Score = 5.0, Climbing Ability: Climb
15. Team 2451: Avg robot score* = 8.12, Max Switch Score = 6.0, Climbing Ability: Climb
16. Team 3536: Avg robot score* = 8.12, Max Switch Score = 5.0, Climbing Ability: Climb
17. Team 4198: Avg robot score* = 8.16, Max Switch Score = 7.0, Climbing Ability: Climb
18. Team 78: Avg robot score* = 7.99, Max Switch Score = 5.0, Climbing Ability: Climb
19. Team 3535: Avg robot score* = 7.66, Max Switch Score = 6.0, Climbing Ability: Climb
20. Team 5914: Avg robot score* = 7.63, Max Switch Score = 8.0, Climbing Ability: Climb
21. Team 5036: Avg robot score* = 6.92, Max Switch Score = 5.0, Climbing Ability: None
22. Team 5492: Avg robot score* = 6.89, Max Switch Score = 6.0, Climbing Ability: Climb
23. Team 3695: Avg robot score* = 7.04, Max Switch Score = 7.0, Climbing Ability: Climb
24. Team 250: Avg robot score* = 5.65, Max Switch Score = 6.0, Climbing Ability: None
25. Team 6823: Avg robot score* = 5.61, Max Switch Score = 5.0, Climbing Ability: None
26. Team 857: Avg robot score* = 5.53, Max Switch Score = 7.0, Climbing Ability: None
27. Team 6590: Avg robot score* = 4.98, Max Switch Score = 6.0, Climbing Ability: None
28. Team 3844: Avg robot score* = 2.88, Max Switch Score = 7.0, Climbing Ability: None
29. Team 5740: Avg robot score* = 2.78, Max Switch Score = 5.0, Climbing Ability: None
