"Timestamp","Team Number","Match Type","Match Number","Starting Position","Which side of the field was their SWITCH plate on?","Which side of the field was their SCALE plate on?","Did the robot cross the baseline?","How many cubes did the robot put in the SWITCH","How many cubes did the robot put in the SCALE","Comments","Cubes placed in Exchange Zone (EZ)","Cubes placed in Switch","Cubes placed in Scale","Failed Cube Attempts (in EZ, Switch, or Scale)","Where does the robot get cubes from?","What did the robot do in endgame?","How many OTHER robots did it lift?","Which part of the bar did the robot climb / attempt to climb on?","General Comments","What was the team's result?","Would this robot be a good alliance partner?"
"2018/05/19 9:46:56 AM AST","4085","Qualification","1","Middle","Right","Right","Yes","1","0","","0","0","1","0","Floor","Platform/Was Lifted","0","Left side of the bar","Hard to pick up cubes  prom floor","Loss","2"
"2018/05/19 9:47:16 AM AST","2252","Qualification","1","Right","Right","Right","Yes","0","1","Tried to do two but missed the second ","0","3","2","0","Floor","Climb","0","The middle portion of the bar","They tried to lift two other robots but one didn’t end up getting on and the one that did get on fell off. ","Win","4"
"2018/05/19 9:47:22 AM AST","4521","Qualification","1","Right","Right","Right","Yes","1","0","","0","3","0","0","Floor","Climb","1","The middle portion of the bar","","Loss","4"
"2018/05/19 9:47:27 AM AST","291","Qualification","1","Left","Right","Right","Yes","0","0","","0","4","4","1","Floor","Platform/Was Lifted","0","Robot did NOT attempt to climb","Puts cubes into scale from the side. Pretty quick with opponent switch","Win","3"
"2018/05/19 9:47:40 AM AST","7274","Qualification","1","Left","Right","Right","Yes","0","0","","5","4","0","0","Floor","Platform/Was Lifted","0","Robot did NOT attempt to climb","Had trouble putting cubes in ez ","Loss","2"
"2018/05/19 9:58:30 AM AST","3010","Qualification","2","Right","Left","Right","No","0","0","Didn’t move until very end. I’m not sure what was going on with it.","4","0","0","1","Both","Platform/Was Lifted","0","Other (specify in comments)","Climbed on 48’s robot. ","Loss","2"
"2018/05/19 9:58:31 AM AST","4145","Qualification","2","Middle","Right","Left","Yes","2","0","","9","0","0","0","Both","Platform/Was Lifted","0","Robot did NOT attempt to climb","","Win","3"
"2018/05/19 9:58:48 AM AST","4028","Qualification","2","Left","Right","Left","Yes","0","2","Try for 3cubes scale","0","0","5","0","Both","Climb","0","Right side of the bar","Really good at scale ","Win","5"
"2018/05/19 9:59:11 AM AST","3324","Qualification","2","Left","Right","Left","No","0","0","Didn’t move at all...","0","0","0","0","Neither","Neither","0","Other (specify in comments)","Didn’t move ","Loss","1"
"2018/05/19 9:59:18 AM AST","4611","Qualification","2","Right","Right","Left","No","0","0","","0","4","1","0","Floor","Climb","0","The middle portion of the bar","Sort of shakey with wacky collector thing. Probably can’t reach full height of scale when tipped aginast. ","Win","3"
"2018/05/19 10:00:17 AM AST","48","Qualification","2","Middle","Right","Left","No","1","0","","0","3","2","0","Both","Attempted Climb","0","The middle portion of the bar","The lift is slow when raising. Could get stuck or tip on the scale.","Loss","3"
"2018/05/19 10:29:18 AM AST","6027","Qualification","3","Middle","Left","Right","No","0","0","","0","0","0","0","Neither","Neither","0","Robot did NOT attempt to climb","","Tie","1"
"2018/05/19 10:29:25 AM AST","3492","Qualification","3","Right","Left","Right","Yes","1","0","","1","3","0","0","Floor","Neither","0","Robot did NOT attempt to climb","Lost connection during match","Tie","3"
"2018/05/19 10:29:27 AM AST","279","Qualification","3","Left","Left","Right","Yes","1","0","","0","0","5","1","Floor","Platform/Was Lifted","0","Other (specify in comments)","Slow. Lifted by 6936","Tie","4"
"2018/05/19 10:29:33 AM AST","5740","Qualification","3","Middle","Left","Right","Yes","0","0","","0","5","0","0","Portal","Platform/Was Lifted","0","Robot did NOT attempt to climb","Can’t do scale and can only receive cubes from the portal","Tie","2"
"2018/05/19 10:29:38 AM AST","379","Qualification","3","Left","Left","Right","Yes","1","0","Painfully uncomfortable dancing with MC. ","0","2","3","0","Floor","Platform/Was Lifted","0","Robot did NOT attempt to climb","Fast","Tie","5"
"2018/05/19 10:30:10 AM AST","6936","Qualification","3","Right","Right","Left","Yes","0","0","","5","0","0","0","Floor","Attempted Climb","0","Left side of the bar","Slow drivetrain as well as placing speed in the vault.","Tie","3"
"2018/05/19 10:39:59 AM AST","6964","Qualification","4","Left","Left","Right","Yes","0","0","","0","2","0","0","Portal","Neither","0","Robot did NOT attempt to climb","Seems lost ","Win","1"
"2018/05/19 10:40:09 AM AST","4467","Qualification","4","Middle","Left","Right","Yes","1","0","","3","0","0","0","Floor","Neither","2","The middle portion of the bar","","Win","4"
"2018/05/19 10:42:37 AM AST","2656","Qualification","4","Left","Left","Right","No","0","0","Turned into a wall","6","1","0","2","Floor","Platform/Was Lifted","0","Robot did NOT attempt to climb","","Loss","2"
"2018/05/19 10:42:37 AM AST","3777","Qualification","4","Left","Left","Right","Yes","0","0","","0","4","0","0","Portal","Attempted Climb","0","The middle portion of the bar","Cubes can easily fall out of the intake. Can be easily defended.","Loss","3"
"2018/05/19 10:42:38 AM AST","7165","Qualification","4","Right","Left","Right","Yes","0","0","","0","0","5","0","Floor","Platform/Was Lifted","0","Robot did NOT attempt to climb","Not very fast","Win","2"
"2018/05/19 10:43:00 AM AST","4150","Qualification","4","Right","Left","Right","No","0","0","","0","1","2","3","Both","Neither","0","Robot did NOT attempt to climb","","Loss","2"
"2018/05/19 10:51:43 AM AST","6916","Qualification","5","Right","Right","Right","Yes","0","0","","0","6","0","1","Portal","Neither","0","Robot did NOT attempt to climb","","Win","2"
"2018/05/19 10:51:46 AM AST","120","Qualification","5","Middle","Right","Right","Yes","1","0","","9","2","0","0","Floor","Climb","0","Left side of the bar","Cubes can sometimes get stuck in the launcher.","Win","3"
"2018/05/19 10:51:55 AM AST","1014","Qualification","5","Left","Right","Right","Yes","1","0","","0","0","5","1","Floor","Platform/Was Lifted","0","Robot did NOT attempt to climb","Pretty slow moving robot. Other alliance had a disabled robot. ","Win","3"
"2018/05/19 10:52:10 AM AST","3504","Qualification","5","Left","Left","Right","Yes","0","0","Attempt for 1 cube scale ","0","4","3","1","Both","Climb","0","Right side of the bar","Successfully climbed!!!!!! ","Loss","5"
"2018/05/19 10:53:02 AM AST","6834","Qualification","5","Right","Right","Right","Yes","0","0","","2","0","0","0","Floor","Platform/Was Lifted","0","Robot did NOT attempt to climb","It had a really hard time picking up the cubes bc their collector wasn’t working","Loss","1"
"2018/05/19 11:03:41 AM AST","2252","Qualification","6","Right","Left","Right","Yes","0","1","Ran out of time for 2","0","0","9","0","Floor","Climb","1","The middle portion of the bar","Very good robot. ","Win","5"
"2018/05/19 11:03:42 AM AST","3260","Qualification","6","Left","Left","Right","No","0","0","","0","0","1","0","Both","Attempted Climb","0","Robot did NOT attempt to climb","Hard to hold the cube   lost connection ","Loss","3"
